	feat.N	feat.last_char	feat.sample_per_class	model.batch_size	model.layers	model.nb_epoch	result.test_acc
320	2.0	6.0	30000.0	500.0	(40, 90)	300.0	0.9463333333333334
321	2.0	6.0	30000.0	500.0	(40, 100)	300.0	0.9486666666666668
322	2.0	6.0	30000.0	500.0	(50, 10)	300.0	0.9515
323	2.0	6.0	30000.0	500.0	(50, 20)	300.0	0.9460833333333334
324	2.0	6.0	30000.0	500.0	(50, 30)	300.0	0.9426666666666668
325	2.0	6.0	30000.0	500.0	(50, 40)	300.0	0.9465833333333332
326	2.0	6.0	30000.0	500.0	(50, 50)	300.0	0.94675
327	2.0	6.0	30000.0	500.0	(50, 60)	300.0	0.9474166666666668
328	2.0	6.0	30000.0	500.0	(50, 70)	300.0	0.94575
329	2.0	6.0	30000.0	500.0	(50, 80)	300.0	0.9504166666666668
330	2.0	6.0	30000.0	500.0	(50, 90)	300.0	0.9480833333333332
331	2.0	6.0	30000.0	500.0	(50, 100)	300.0	0.9440833333333334
332	2.0	6.0	30000.0	500.0	(60, 10)	300.0	0.9519166666666666
333	2.0	6.0	30000.0	500.0	(60, 20)	300.0	0.9453333333333334
334	2.0	6.0	30000.0	500.0	(60, 30)	300.0	0.9469166666666666
335	2.0	6.0	30000.0	500.0	(60, 40)	300.0	0.9449166666666666
336	2.0	6.0	30000.0	500.0	(60, 50)	300.0	0.9489166666666666
337	2.0	6.0	30000.0	500.0	(60, 60)	300.0	0.9461666666666668
338	2.0	6.0	30000.0	500.0	(60, 70)	300.0	0.9451666666666668
339	2.0	6.0	30000.0	500.0	(60, 80)	300.0	0.94575
340	2.0	6.0	30000.0	500.0	(60, 90)	300.0	0.9470833333333334
341	2.0	6.0	30000.0	500.0	(60, 100)	300.0	0.9491666666666668
342	2.0	6.0	30000.0	500.0	(70, 10)	300.0	0.951
343	2.0	6.0	30000.0	500.0	(70, 20)	300.0	0.9510833333333332
344	2.0	6.0	30000.0	500.0	(70, 30)	300.0	0.9453333333333334
345	2.0	6.0	30000.0	500.0	(70, 40)	300.0	0.9470000000000001
346	2.0	6.0	30000.0	500.0	(70, 50)	300.0	0.9475
347	2.0	6.0	30000.0	500.0	(70, 60)	300.0	0.94675
348	2.0	6.0	30000.0	500.0	(70, 70)	300.0	0.9485833333333332
349	2.0	6.0	30000.0	500.0	(70, 80)	300.0	0.9445833333333332
350	2.0	6.0	30000.0	500.0	(70, 90)	300.0	0.9455833333333332
351	2.0	6.0	30000.0	500.0	(70, 100)	300.0	0.9431666666666668
352	2.0	6.0	30000.0	500.0	(80, 10)	300.0	0.9454166666666668
353	2.0	6.0	30000.0	500.0	(80, 20)	300.0	0.9439166666666666
354	2.0	6.0	30000.0	500.0	(80, 30)	300.0	0.9464166666666668
355	2.0	6.0	30000.0	500.0	(80, 40)	300.0	0.94575
356	2.0	6.0	30000.0	500.0	(80, 50)	300.0	0.9473333333333334
357	2.0	6.0	30000.0	500.0	(80, 60)	300.0	0.9443333333333334
358	2.0	6.0	30000.0	500.0	(80, 70)	300.0	0.9468333333333332
359	2.0	6.0	30000.0	500.0	(80, 80)	300.0	0.94675
360	2.0	6.0	30000.0	500.0	(80, 90)	300.0	0.9473333333333334
361	2.0	6.0	30000.0	500.0	(80, 100)	300.0	0.946
362	2.0	6.0	30000.0	500.0	(90, 10)	300.0	0.9495833333333332
363	2.0	6.0	30000.0	500.0	(90, 20)	300.0	0.9440833333333334
364	2.0	6.0	30000.0	500.0	(90, 30)	300.0	0.9473333333333334
365	2.0	6.0	30000.0	500.0	(90, 40)	300.0	0.94975
366	2.0	6.0	30000.0	500.0	(90, 50)	300.0	0.9518333333333332
367	2.0	6.0	30000.0	500.0	(90, 60)	300.0	0.9499166666666666
368	2.0	6.0	30000.0	500.0	(90, 70)	300.0	0.9449166666666666
